,roi_name,geom_mica,idx_csv,geom_csv
131,7Networks_RH_SomMot,[9.617969512939453 -41.454124450683594 66.81929016113281],131,[10 -40 70]
132,7Networks_RH_SomMot,[2.7831168174743652 -24.078861236572266 66.77310943603516],132,[6 -22 68]
133,7Networks_RH_SomMot,[19.143369674682617 -30.51493263244629 65.13762664794922],133,[20 -30 70]
134,7Networks_RH_DorsAttn_Pos,[47.876678466796875 -58.468971252441406 -14.191253662109375],134,[50 -54 -16]
135,7Networks_RH_DorsAttn_Pos,[46.5338020324707 -62.078025817871094 7.363091468811035],135,[52 -60 10]
136,7Networks_RH_DorsAttn_Pos,[56.28438186645508 -22.92584991455078 36.092288970947266],136,[60 -16 34]
137,7Networks_RH_DorsAttn_Pos,[42.20161056518555 -38.84799575805664 40.43672561645508],137,[46 -38 50]
138,7Networks_RH_DorsAttn_Pos,[37.219852447509766 -33.36476516723633 44.44831466674805],138,[42 -32 46]
139,7Networks_RH_DorsAttn_Pos,[13.132165908813477 -75.26524353027344 51.63127517700195],139,[14 -74 52]
140,7Networks_RH_DorsAttn_Pos,[32.7664680480957 -49.64890670776367 48.17662048339844],140,[34 -48 50]
141,7Networks_RH_DorsAttn_Pos,[22.577367782592773 -59.934715270996094 52.88129425048828],141,[26 -62 58]
142,7Networks_RH_DorsAttn_Pos,[7.4338579177856445 -55.63721466064453 59.68818283081055],142,[8 -56 62]
143,7Networks_RH_DorsAttn_Post,[18.099239349365234 -50.46953582763672 65.59950256347656],143,[22 -48 70]
144,7Networks_RH_DorsAttn_FE,[34.70254898071289 -5.712047576904297 49.68848419189453],144,[34 -4 52]
145,7Networks_RH_DorsAttn_FE,[23.334585189819336 5.448542594909668 54.130638122558594],145,[26 8 58]
146,7Networks_RH_DorsAttn_PrC,[48.27136993408203 10.511626243591309 21.032270431518555],146,[52 10 20]
147,7Networks_RH_SalVentAttn_TempOccPa,[53.055747985839844 -49.03150939941406 9.77589225769043],147,[58 -46 10]
148,7Networks_RH_SalVentAttn_TempOccPa,[57.78997039794922 -42.74588394165039 13.741289138793945],148,[60 -38 16]
149,7Networks_RH_SalVentAttn_TempOccPa,[57.019073486328125 -30.294748306274414 28.915863037109375],149,[60 -26 28]
150,7Networks_RH_SalVentAttn_Pr,[48.68849182128906 2.4460411071777344 40.51807403564453],150,[50 4 40]
151,7Networks_RH_SalVentAttn_FrOperIn,[41.47040557861328 1.1328344345092773 -14.7139892578125],151,[40 6 -16]
152,7Networks_RH_SalVentAttn_FrOperIn,[48.45103454589844 -9.807026863098145 -6.225987434387207],152,[46 -4 -4]
153,7Networks_RH_SalVentAttn_FrOperIn,[33.75342559814453 21.329906463623047 4.984549522399902],153,[36 24 4]
154,7Networks_RH_SalVentAttn_FrOperIn,[41.98967742919922 4.413606643676758 6.567087650299072],154,[44 6 4]
155,7Networks_RH_SalVentAttn_Me,[6.966224670410156 7.360841274261475 41.061607360839844],155,[8 10 42]
156,7Networks_RH_SalVentAttn_Me,[12.672719955444336 -35.13996124267578 47.135169982910156],156,[10 -36 46]
157,7Networks_RH_SalVentAttn_Me,[3.9694671630859375 0.5375825762748718 61.7830696105957],157,[8 4 66]
158,7Networks_RH_Limbic_OF,[11.908174514770508 31.878128051757812 -23.266281127929688],158,[12 38 -22]
159,7Networks_RH_Limbic_OF,[30.448406219482422 17.565406799316406 -20.633474349975586],159,[28 22 -20]
160,7Networks_RH_Limbic_OF,[13.990594863891602 62.9334831237793 -9.834985733032227],160,[14 64 -8]
161,7Networks_RH_Limbic_TempPol,[35.63888168334961 7.201722145080566 -39.3489990234375],161,[30 8 -38]
162,7Networks_RH_Limbic_TempPol,[45.463043212890625 -18.937942504882812 -33.136962890625],162,[46 -12 -34]
163,7Networks_RH_Limbic_TempPol,[26.2586669921875 -17.121429443359375 -34.38591766357422],163,[26 -10 -32]
164,7Networks_RH_Cont_Pa,[58.71007537841797 -42.863426208496094 33.11832809448242],164,[62 -38 36]
165,7Networks_RH_Cont_Pa,[49.549747467041016 -47.882362365722656 41.209815979003906],165,[52 -42 48]
166,7Networks_RH_Cont_Pa,[35.266963958740234 -60.4652214050293 46.09838104248047],166,[38 -62 48]
167,7Networks_RH_Cont_Tem,[58.75712966918945 -44.79899215698242 -13.32758903503418],167,[62 -42 -12]
168,7Networks_RH_Cont_PFC,[35.240440368652344 21.08207130432129 -6.048354625701904],168,[34 22 -8]
169,7Networks_RH_Cont_PFC,[36.08641815185547 41.46605682373047 -12.40934944152832],169,[36 46 -14]
170,7Networks_RH_Cont_PFC,[31.818958282470703 53.0284538269043 4.069308280944824],170,[30 58 4]
171,7Networks_RH_Cont_PFC,[39.84648132324219 42.683597564697266 10.306276321411133],171,[44 44 10]
172,7Networks_RH_Cont_PFC,[42.46395492553711 23.688505172729492 22.923139572143555],172,[46 24 26]
173,7Networks_RH_Cont_PFC,[31.53835105895996 42.01326370239258 24.305683135986328],173,[30 48 28]
174,7Networks_RH_Cont_PFC,[38.794532775878906 30.34610939025879 33.6585807800293],174,[40 34 38]
175,7Networks_RH_Cont_PFC,[43.432640075683594 15.350494384765625 42.457862854003906],175,[42 14 48]
176,7Networks_RH_Cont_pCu,[13.319580078125 -68.9911880493164 35.3502082824707],176,[14 -70 36]
177,7Networks_RH_Cont_Cin,[3.8832080364227295 -25.187768936157227 29.065288543701172],177,[6 -24 30]
178,7Networks_RH_Cont_Cin,[3.3869972229003906 4.441567897796631 29.700817108154297],178,[4 2 30]
179,7Networks_RH_Cont_PFCm,[9.125091552734375 27.92563247680664 27.60318374633789],179,[8 30 28]
180,7Networks_RH_Cont_PFCm,[4.520318031311035 25.064109802246094 51.79941940307617],180,[8 24 56]
181,7Networks_RH_Default_Pa,[42.799930572509766 -73.12361145019531 25.773418426513672],181,[46 -70 28]
182,7Networks_RH_Default_Pa,[51.316253662109375 -53.99253463745117 26.454181671142578],182,[54 -50 28]
183,7Networks_RH_Default_Pa,[46.83320236206055 -64.44953918457031 40.99860382080078],183,[50 -58 44]
184,7Networks_RH_Default_Tem,[50.73646926879883 8.014883041381836 -27.810129165649414],184,[48 12 -30]
185,7Networks_RH_Default_Tem,[60.58515548706055 -20.429805755615234 -24.06581687927246],185,[60 -12 -20]
186,7Networks_RH_Default_Tem,[53.279388427734375 -14.444758415222168 -11.261709213256836],186,[54 -6 -10]
187,7Networks_RH_Default_Tem,[60.261131286621094 -32.1588249206543 -6.853265285491943],187,[62 -26 -6]
188,7Networks_RH_Default_Tem,[49.931884765625 -36.21540069580078 1.076174259185791],188,[52 -32 2]
