glasser_roi,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
Anterior_Ventral_Insular_Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0009631713684637418,0.0678813118167621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807848487801709
Anterior_Agranular_Insula_Complex,0.0,0.0,0.0,0.0008005260599822741,0.0,0.0,0.014324262981363326,0.04531330916623511,0.001123355087193752,0.0148030663494581,0.0,0.0,0.0,0.002224595123687489,0.0,0.0,0.005925590130492504
Frontal_OPercular_Area_1,0.0,0.0,0.0,0.012769874974014788,0.0,0.0,0.041357010613053795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontal_OPercular_Area_3,0.0,0.0,0.0,0.0007302601551802828,0.0,0.0,0.0220026104792094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontal_OPercular_Area_2,0.0,0.0,0.0,0.029818378964489023,0.0,0.0,0.009134831164030945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_PFt,0.0,0.0,0.0,5.879413234559191e-05,0.0,0.048359115223362725,0.004238492750626728,0.00026553372278279334,0.0,0.0,0.0,0.007640003056001222,0.0,0.0,0.0,0.0,0.0
Anterior_IntraParietal_Area,0.0,0.0,0.0,0.0,0.008541582501298552,0.014155640916204295,0.0,0.0,0.0,0.0,0.0,0.04416467329724286,0.00042979326943740054,0.0,0.0,0.0,0.0
Entorhinal_Cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03185419968304279,0.0,0.0,0.0,0.0,0.0,0.027596519847743337,0.0,0.0
PreSubiculum,0.0,0.009975264587810713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027841892671667628,0.0,0.0
Hippocampus,0.0,0.002139715497087609,0.0,0.0,0.00011310298026352996,0.0,0.0,0.0,0.00691710120251144,0.0,0.0,0.0,0.0,0.0,0.02825484764542936,0.0,0.0
ProStraite_Area,0.0,0.0709424623633739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013236168947055324,0.0,0.0
Perirhinal_Ectorhinal_Cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19370753048496692,0.0,0.0,0.0,0.0,0.0,0.024213075060532687,0.0,0.0
Area_STGa,0.0,0.0,0.0,0.00518236868046754,0.0,0.0,0.0007963963067121277,0.0,0.006910011604599641,0.0,0.0,0.0,0.0,0.09059294035819856,0.0,0.0005580876197563017,0.014993418306739012
ParaBelt_Complex,0.0,0.0,0.0,0.05708351876576176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155631013016412,0.0,0.0,0.0
Auditory_5_Complex,0.0,0.0,0.0,0.0029711485834918814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1416421833926086,0.0,0.0024726681855914093,0.041314957487952365
ParaHippocampal_Area_1,0.0009186427054027673,0.02545882889387088,0.0,0.0,0.009219118696153213,0.0,0.0,0.0,0.0006723906072204406,0.0,0.0,0.0,0.0,0.0,0.13981958762886598,0.0,0.0
ParaHippocampal_Area_3,0.012013127747848164,8.410075270173667e-05,0.0,0.0,0.014744913005013271,0.0,0.0,0.0,0.014391674969556073,0.0,0.0,0.0,0.0,0.0,0.021565003080714722,0.0,0.0
Area_STSd_Anterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053780266842365344,0.0,0.008939765603706733,0.06040205115298707
Area_STSd_Posterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812555260831123,0.0,0.0,0.029235987724115647
Area_STSv_Posterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003520152875210581,0.0054947413608070405,0.02334241598546776,0.0,0.0,0.02332409068667428
Area_TG_Dorsal,0.0,0.0,0.0,0.0,0.0,0.0,0.002079110140859712,0.0,0.28348842241938976,0.0,0.0,0.0,0.0,0.0007893438579181054,0.0,0.0,0.10086433671552048
Area_TE1_Anterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014676064497441344,0.0,0.0,0.0,0.0059898993853501935,0.0,0.0,0.02961565997869628,0.06950733975625323
